fecha,descripcion,referencia,valor,moneda_id,cuenta_id,terceroid,grupoid,conceptoid
2026-01-13,Compra F2X S.A.S. Fact DEFL79716833,DEFL79716833,-13500.0,1,,,,
2026-01-09,Compra COOPERATIVA COLANTA Fact 145E103616,145E103616,-45450.0,1,,,,
2026-01-08,Compra F2X S.A.S. Fact FEFL951169,FEFL951169,-4000.0,1,,,,
2026-01-06,Compra F2X S.A.S. Fact DEFL78341304,DEFL78341304,-13600.0,1,,,,
2026-01-06,Compra INVERSIONES RAMEJ S.A.S Fact EPOS219449,EPOS219449,-133800.0,1,,,,
2026-01-06,Compra PRICESMART COLOMBIA S.A.S. Fact COFE480377,COFE480377,-184500.0,1,,,,
2026-01-05,Compra F2X S.A.S. Fact FLYP9202200,FLYP9202200,-3300.0,1,,,,
2026-01-02,Compra SEGUROS DE VIDA  SURAMERICANA S.A Fact 209012284893,209012284893,-2894927.7,1,,,,
2026-01-01,Compra SEGUROS DE VIDA  SURAMERICANA S.A Fact 209012135890,209012135890,-1471978.2,1,,,,
2025-12-31,Compra EMPRESAS PUBLICAS DE MEDELLIN E.S.P. Fact DEE37975692,DEE37975692,-113066.0,1,,,,
2025-12-29,Compra SEGUROS DE VIDA  SURAMERICANA S.A Fact 20006223026,20006223026,-715177.05,1,,,,
